objName,objID,raMean,decMean,raMeanErr,decMeanErr,nDetections,randomID,projectionID,skyCellID,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,epochMean,nStackDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanKronMag,gMeanKronMagErr,gMeanApMag,gMeanApMagErr,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanKronMag,rMeanKronMagErr,rMeanApMag,rMeanApMagErr,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanKronMag,iMeanKronMagErr,iMeanApMag,iMeanApMagErr,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanKronMag,zMeanKronMagErr,zMeanApMag,zMeanApMagErr,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanKronMag,yMeanKronMagErr,yMeanApMag,yMeanApMagErr,yFlags,Ang Sep (')
b'PSO J103728.466-274934.124',b'74601593686158904',159.368566667,-27.8261333333,0.01,0.005,59,0.465151434266,750,2,503636096,60,b'10 37 28.466',b'-27 49 34.12',0.001,0.001,55918.6148148,5,14,6,14,11,14,1.0,17.945,0.004,18.025,0.008,17.947,0.006,115000,1.0,17.6,0.012,17.678,0.01,17.599,0.008,115000,1.0,17.49,0.003,17.568,0.004,17.491,0.005,115000,0.999,17.473,0.005,17.575,0.014,17.477,0.01,115000,1.0,17.445,0.012,17.55,0.014,17.427,0.014,115000,14.056
b'PSO J103714.638-272231.376',b'75141593109149819',159.310958333,-27.3753861111,0.16,0.16,2,0.333645490309,750,12,302067712,36,b'',b'',,,55676.2618056,0,0,0,0,2,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.998,20.013,0.159,17.893,0.072,18.769,0.159,16777496,,,,,,,,0,14.056
b'PSO J103735.559-274942.079',b'74601593982116259',159.398125,-27.8283527778,0.063,0.063,2,0.0532339364786,750,2,1073819648,128,b'10 37 35.559',b'-27 49 42.08',0.001,0.001,55276.4041898,1,2,0,0,0,0,0.563,21.136,0.079,,,22.953,0.179,32824,,,,,,,,32,,,,,,,,32,,,,,,,,32,,,,,,,,32,14.057
b'PSO J103840.720-273612.935',b'74871596696805992',159.669604167,-27.6036111111,0.003,0.006,81,0.99427095055,750,1,503635968,60,b'10 38 40.721',b'-27 36 12.94',0.001,0.001,56079.3234491,10,15,14,16,19,17,1.0,17.346,0.004,17.423,0.008,17.351,0.006,115000,1.0,16.68,0.005,16.753,0.003,16.674,0.003,115000,0.999,16.468,0.003,16.528,0.004,16.466,0.003,115000,1.0,16.372,0.006,16.449,0.002,16.372,0.004,115000,0.999,16.312,0.004,16.395,0.01,16.31,0.007,115000,14.058
b'PSO J103654.576-272515.833',b'75091592273855028',159.227375,-27.4210583333,0.007,0.008,73,0.0473365672374,750,12,503635968,60,b'10 36 54.576',b'-27 25 15.83',0.001,0.001,55979.4457407,5,12,14,15,16,16,1.0,18.561,0.009,18.652,0.014,18.56,0.017,115000,1.0,17.928,0.008,18.037,0.008,17.947,0.005,115000,1.0,17.695,0.007,17.797,0.006,17.701,0.005,115000,1.0,17.524,0.005,17.599,0.011,17.52,0.009,115000,0.999,17.46,0.007,17.625,0.022,17.53,0.025,115000,14.059
b'PSO J103639.800-274136.084',b'74761591658798307',159.1657875,-27.69335,0.022,0.027,27,0.726612392558,750,2,436527104,52,b'10 36 39.801',b'-27 41 36.08',0.001,0.001,56187.8906829,5,0,3,13,8,3,,,,,,,,114720,0.999,21.333,0.056,20.794,0.175,20.802,0.067,16892216,1.0,20.727,0.024,20.741,0.066,20.584,0.094,115000,1.0,20.257,0.042,20.168,0.085,20.106,0.125,115000,1.0,19.908,0.101,19.908,0.194,19.689,0.051,115000,14.059
b'PSO J103818.823-274617.384',b'74671595784264512',159.5783875,-27.7715027778,0.067,0.067,7,0.854229424944,750,1,436363264,52,b'10 38 18.825',b'-27 46 17.32',0.001,0.001,55842.598206,3,0,0,2,4,1,,,,,,,,16416,,,,,,,,16416,0.998,21.776,0.042,,,21.865,0.109,115000,0.999,20.8,0.176,20.809,0.032,20.719,0.092,115000,0.735,19.963,0.168,,,20.91,0.168,118840,14.06
b'PSO J103741.976-274940.455',b'74601594249386860',159.4249,-27.8278555556,0.179,0.179,2,0.503710653171,750,1,436285440,52,b'10 37 41.977',b'-27 49 40.46',0.001,0.001,56015.3961111,6,0,0,2,0,0,,,,,,,,114720,,,,,,,,16416,0.997,21.767,0.178,21.174,0.24,21.161,0.178,16892216,,,,,,,,114720,,,,,,,,16416,14.06
b'PSO J103706.180-274753.705',b'74641592755422209',159.27555,-27.7983388889,0.114,0.114,2,0.223338824905,750,2,1375809536,164,b'10 37 06.180',b'-27 47 53.71',0.001,0.001,55980.8042361,1,1,0,1,0,0,0.0,21.045,0.149,20.059,0.137,20.143,0.149,16892472,,,,,,,,16416,0.997,21.722,0.174,21.762,0.274,21.942,0.174,17464,,,,,,,,16416,,,,,,,,16416,14.061
b'PSO J103835.140-274127.262',b'74771596462501356',159.646370833,-27.6909194444,0.198,0.198,2,0.318535967095,750,1,302067712,36,b'',b'',,,56428.2463773,0,0,0,0,1,1,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.704,21.158,0.207,,,21.05,0.207,4120,0.999,19.98,0.197,,,20.879,0.197,280,14.061
