r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
682.65,287831259,114.667746,-69.535615,13,36,b'073840.25-693208.2',57030.4751,0,0,1,0,1,0.451,,,,,,,,,,,,,,,,,,,,,18.512,0.035,18.695,0.373,6.6,287831260.0
683.02,287832175,113.708827,-69.671939,13,36,b'073450.11-694018.9',57030.475,0,0,2,0,1,0.787,,,,,,,,,,,,,,,,,17.73,0.012,17.776,0.123,17.464,0.018,17.592,0.143,60.0,
683.39,287831599,114.418031,-69.390304,87,36,b'073740.35-692325.1',57033.0597,2,0,7,0,1,0.943,,,,,,,,,17.433,0.029,17.241,0.079,17.105,0.112,17.076,0.065,17.03,0.12,16.832,0.212,16.787,0.095,16.892,0.114,60.0,
683.44,287832426,113.62063,-69.482043,264,287,b'073428.90-692855.6',57036.5065,2,0,2,0,1,0.412,,,,,,,,,,,,,,,,,17.417,0.025,18.763,0.155,16.852,0.058,16.985,0.156,60.0,
683.54,287832419,113.612364,-69.489895,48,74,b'073426.98-692923.6',57033.0597,0,0,7,0,1,0.971,,,,,,,,,17.856,0.037,18.047,0.13,17.265,0.097,17.081,0.2,16.801,0.014,16.892,0.066,16.672,0.022,16.766,0.192,60.0,
683.69,287831207,114.620737,-69.630329,153,46,b'073828.97-693749.1',57030.475,0,0,2,0,1,0.515,,,,,,,,,,,,,,,,,18.427,0.025,18.486,0.347,18.479,0.029,18.778,0.222,60.0,
683.76,287831863,114.211486,-69.737961,102,36,b'073650.75-694416.6',57030.475,0,0,2,0,1,0.567,,,,,,,,,,,,,,,,,18.159,0.036,18.036,0.161,17.992,0.069,17.837,0.188,60.0,
683.76,287832380,113.61385,-69.613951,60,218,b'073427.32-693650.3',57032.4855,0,0,3,0,1,0.814,,,,,,,,,,,,,,,,,17.847,0.018,17.964,0.149,17.546,0.061,17.918,0.25,60.0,
684.01,287831542,114.51831,-69.418878,13,36,b'073804.39-692507.9',57033.0597,0,0,7,0,1,0.982,,,,,,,,,16.619,0.006,16.638,0.043,16.138,0.015,16.313,0.112,15.725,0.009,15.756,0.023,15.641,0.095,15.72,0.112,60.0,
684.36,287832420,113.594585,-69.511655,48,88,b'073422.69-693041.9',57030.4748,0,0,3,0,1,0.548,,,,,,,,,,,,,18.482,0.037,18.394,0.263,18.402,0.032,18.181,0.215,18.196,0.024,18.285,0.243,60.0,
685.52,287832373,113.638457,-69.635544,89,77,b'073433.26-693808.2',57032.7363,0,0,8,0,1,0.977,18.271,0.042,18.645,0.197,,,,,17.581,0.019,17.379,0.105,17.088,0.01,17.187,0.164,16.818,0.03,16.735,0.103,16.731,0.021,16.795,0.097,60.0,
685.87,287831592,114.455458,-69.398599,13,36,b'073749.30-692354.9',57030.4751,0,0,1,0,1,0.406,,,,,,,,,,,,,,,,,,,,,18.593,0.064,18.806,0.227,60.0,
686.5,287832051,113.920859,-69.727041,13,36,b'073541.00-694337.3',57033.2158,0,0,11,1,1,0.991,14.458,0.004,14.494,0.014,14.112,0.013,14.159,0.033,13.13,0.003,13.15,0.004,12.823,0.013,12.823,0.029,12.612,0.01,12.626,0.058,12.589,0.003,12.607,0.059,60.0,
686.76,287831199,114.649088,-69.606763,125,75,b'073835.76-693624.7',57033.0597,0,0,7,0,1,0.466,,,,,,,,,18.392,0.115,17.886,0.221,17.182,0.054,16.962,0.105,16.68,0.077,15.644,0.057,16.504,0.053,15.703,0.235,10.4,287831276.0
686.89,287831926,114.054092,-69.739442,79,47,b'073612.98-694421.9',57033.0597,0,0,7,0,1,0.979,,,,,,,,,17.707,0.027,17.599,0.097,17.102,0.021,17.352,0.419,16.733,0.045,16.724,0.067,16.534,0.01,16.515,0.058,60.0,
687.18,287832391,113.585647,-69.577358,13,36,b'073420.55-693438.4',57030.4742,0,0,6,1,1,0.985,16.765,0.022,16.377,0.096,16.461,0.025,16.832,0.147,15.46,0.003,15.498,0.018,15.146,0.006,15.122,0.016,14.906,0.004,14.937,0.015,14.83,0.003,14.898,0.016,9.8,287832392.0
687.24,287847306,114.131053,-69.359431,149,121,b'073631.40-692134.0',57031.9826,0,0,4,0,1,0.841,,,,,,,,,18.866,0.048,18.811,0.189,,,,,17.693,0.099,17.879,0.204,17.6,0.018,17.633,0.136,60.0,
687.3,287831393,114.368356,-69.721748,19,36,b'073728.40-694318.2',57033.0597,0,0,7,0,1,0.982,,,,,,,,,16.462,0.006,16.518,0.041,16.016,0.014,16.082,0.047,15.594,0.016,15.647,0.078,15.481,0.021,15.456,0.022,60.0,
687.81,287832172,113.732674,-69.683203,22,45,b'073455.84-694059.5',57030.4745,0,0,2,0,1,0.497,,,,,,,,,18.384,0.024,18.634,0.353,,,,,17.768,0.041,17.614,0.124,,,,,60.0,
688.08,287831254,114.654151,-69.500237,58,49,b'073837.02-693000.8',57032.8875,0,0,5,0,1,0.451,,,,,,,,,,,,,18.273,0.047,18.164,0.206,17.172,0.103,17.393,0.717,16.632,0.09,16.707,0.077,8.8,287831255.0
688.23,287831598,114.442311,-69.394409,84,162,b'073746.18-692339.9',57033.4905,3,0,7,0,2,0.979,,,,,,,,,17.55,0.032,17.712,0.095,16.916,0.013,16.99,0.154,16.52,0.066,16.584,0.066,16.246,0.026,16.21,0.165,60.0,
688.4,287831232,114.673932,-69.556545,13,36,b'073841.74-693323.5',57030.4745,0,0,1,0,1,0.487,,,,,,,,,,,,,18.904,0.052,18.991,0.235,,,,,,,,,60.0,
689.13,287832424,113.635683,-69.466173,220,286,b'073432.56-692758.2',57036.5063,2,0,3,0,1,0.442,,,,,,,,,,,,,17.257,0.007,17.297,0.146,16.812,0.029,17.287,0.207,16.881,0.025,17.179,0.176,60.0,
689.31,287831354,114.54509,-69.67455,15,36,b'073810.84-694028.3',57032.4849,0,0,9,1,1,0.983,17.209,0.035,16.966,0.132,16.652,0.047,16.388,0.09,14.733,0.004,14.758,0.011,14.17,0.005,14.179,0.035,13.716,0.002,13.742,0.035,13.55,0.011,13.586,0.049,13.2,287831337.0
689.76,287831602,114.372573,-69.379211,13,36,b'073729.41-692245.1',57030.4751,0,0,1,0,1,0.503,,,,,,,,,,,,,,,,,,,,,18.177,0.027,18.461,0.174,5.2,287831620.0
689.79,287831271,114.661534,-69.593734,20,36,b'073838.76-693537.4',57030.4742,0,0,6,1,1,0.985,17.412,0.048,17.819,0.229,16.94,0.017,16.869,0.139,15.257,0.006,15.297,0.016,14.771,0.003,14.805,0.012,14.486,0.003,14.533,0.011,14.415,0.004,14.476,0.012,60.0,
689.98,287832392,113.582468,-69.574878,28,36,b'073419.79-693429.5',57030.4746,0,0,4,0,1,0.984,,,,,,,,,16.48,0.012,16.568,0.042,16.101,0.005,16.164,0.03,15.769,0.004,15.797,0.03,15.655,0.004,15.713,0.032,9.8,287832391.0
690.17,287847353,113.947737,-69.369201,13,36,b'073547.45-692209.1',57030.4748,1,0,1,0,1,0.58,,,,,,,,,,,,,,,,,18.413,0.048,18.58,0.441,,,,,7.4,287847354.0
690.34,287831517,114.625437,-69.470878,63,93,b'073830.09-692815.0',57036.5063,0,0,2,0,1,0.399,,,,,,,,,,,,,17.551,0.093,18.966,0.17,,,,,17.053,0.04,17.491,0.127,60.0,
690.44,287847358,113.883243,-69.378621,13,36,b'073531.97-692243.0',57030.4748,0,0,1,0,1,0.369,,,,,,,,,,,,,,,,,18.752,0.057,18.469,0.218,,,,,60.0,
692.39,287831585,114.493332,-69.407201,27,144,b'073758.40-692425.9',57030.475,0,0,2,0,1,0.492,,,,,,,,,,,,,,,,,18.512,0.038,18.716,0.188,17.828,0.029,17.909,0.217,60.0,
693.22,287831347,114.539021,-69.678638,23,36,b'073809.36-694043.0',57032.7363,0,0,8,0,1,0.982,17.432,0.073,16.792,0.139,,,,,16.155,0.003,16.172,0.032,15.784,0.003,15.81,0.028,15.458,0.023,15.503,0.042,15.344,0.013,15.359,0.084,4.5,287831337.0
693.55,287831857,114.273061,-69.73614,38,36,b'073705.53-694410.1',57030.4746,0,0,4,0,1,0.949,,,,,,,,,18.335,0.031,18.528,0.123,17.853,0.018,17.846,0.131,17.286,0.016,17.437,0.097,17.207,0.015,17.211,0.107,60.0,
693.59,287832421,113.589996,-69.507087,42,36,b'073421.63-693025.5',57032.7363,0,0,8,0,1,0.983,18.206,0.042,18.644,0.183,,,,,16.316,0.006,16.369,0.034,15.763,0.037,15.801,0.05,15.488,0.015,15.517,0.067,15.273,0.031,15.334,0.041,60.0,
694.29,287847817,113.767561,-69.404273,71,73,b'073504.21-692415.3',57030.475,0,0,2,0,1,0.507,,,,,,,,,,,,,,,,,18.583,0.06,18.506,0.197,18.441,0.059,18.562,0.181,60.0,
694.52,287847354,113.942106,-69.368617,17,36,b'073546.10-692207.0',57033.2158,0,0,11,1,1,0.999,13.379,0.003,13.365,0.031,12.875,0.004,12.875,0.024,12.133,0.003,12.151,0.003,11.947,0.013,11.934,0.042,11.801,0.006,11.798,0.057,11.818,0.004,11.811,0.054,7.4,287847353.0
694.63,287831541,114.533728,-69.420334,62,36,b'073808.08-692513.1',57030.4748,0,0,3,0,1,0.881,,,,,,,,,,,,,18.448,0.028,18.678,0.181,17.557,0.028,17.722,0.116,17.334,0.012,17.377,0.123,60.0,
694.76,287831620,114.373313,-69.377789,178,36,b'073729.59-692240.0',57030.475,0,0,2,0,1,0.581,,,,,,,,,,,,,,,,,18.21,0.032,18.08,0.189,18.327,0.082,18.229,0.202,5.2,287831602.0
694.78,287831337,114.542167,-69.678055,13,36,b'073810.12-694040.9',57030.4751,0,0,1,0,1,0.495,,,,,,,,,,,,,,,,,,,,,18.282,0.029,18.554,0.299,4.5,287831347.0
694.88,287847320,114.095458,-69.357616,30,48,b'073622.88-692127.3',57032.7363,0,0,8,0,1,0.982,17.997,0.018,18.122,0.265,,,,,16.828,0.01,16.924,0.063,16.412,0.01,16.445,0.035,16.083,0.013,16.188,0.102,15.984,0.009,16.042,0.095,60.0,
695.06,287832155,113.780019,-69.700984,12,36,b'073507.20-694203.5',57030.4748,0,0,1,0,1,0.669,,,,,,,,,,,,,,,,,18.35,0.039,18.744,0.216,,,,,60.0,
695.36,287832185,113.693581,-69.670848,14,36,b'073446.46-694015.0',57033.2158,0,0,11,1,1,0.996,16.198,0.006,16.295,0.056,15.699,0.029,15.581,0.102,14.857,0.005,14.902,0.012,14.568,0.006,14.584,0.045,14.346,0.005,14.385,0.019,14.294,0.014,14.336,0.064,60.0,
695.55,287831351,114.48951,-69.696555,94,62,b'073757.44-694147.6',57033.0597,0,0,7,0,1,0.931,,,,,,,,,17.773,0.017,17.643,0.114,17.532,0.085,17.407,0.192,17.2,0.022,17.093,0.246,17.093,0.093,17.188,0.416,60.0,
696.43,287831229,114.670112,-69.588521,49,37,b'073840.83-693518.6',57030.4746,0,0,4,0,1,0.98,,,,,,,,,17.086,0.007,17.071,0.06,16.559,0.01,16.532,0.052,16.195,0.01,16.317,0.044,16.029,0.011,16.032,0.041,14.3,287831275.0
696.7,287831243,114.678604,-69.534185,172,36,b'073842.84-693203.0',57031.681,0,0,5,0,1,0.884,,,,,,,,,18.118,0.016,18.193,0.132,17.685,0.024,17.563,0.167,17.378,0.008,17.829,0.461,17.348,0.014,17.416,0.141,14.5,287831259.0
696.83,287831242,114.679643,-69.538442,51,36,b'073843.11-693218.3',57030.4748,0,0,3,0,1,0.845,,,,,,,,,,,,,17.999,0.02,17.988,0.14,17.737,0.031,17.604,0.123,17.528,0.051,17.779,0.13,60.0,
698.01,287831889,114.18826,-69.743036,52,59,b'073645.19-694434.9',57033.0597,0,0,7,0,1,0.982,,,,,,,,,16.906,0.007,16.853,0.067,16.573,0.017,16.616,0.042,16.346,0.084,16.443,0.047,16.258,0.03,16.264,0.052,60.0,
698.75,287832397,113.581647,-69.588496,18,36,b'073419.60-693518.7',57032.7363,0,0,8,0,1,0.977,18.097,0.038,17.965,0.196,,,,,17.052,0.014,17.043,0.061,16.708,0.008,16.703,0.052,16.432,0.015,16.524,0.075,16.406,0.028,16.393,0.051,60.0,
699.43,287831380,114.424984,-69.714578,12,36,b'073741.99-694252.4',57030.4748,0,0,1,0,1,0.374,,,,,,,,,,,,,,,,,18.77,0.061,18.995,0.273,,,,,60.0,
699.54,287831352,114.580817,-69.663165,13,36,b'073819.39-693947.3',57030.4751,0,0,1,0,1,0.526,,,,,,,,,,,,,,,,,,,,,18.364,0.031,18.629,0.203,60.0,
699.9,287831600,114.418349,-69.384965,27,36,b'073740.40-692305.8',57030.4747,0,0,2,0,1,0.666,,,,,,,,,18.45,0.049,18.189,0.153,,,,,,,,,17.884,0.066,17.61,0.171,60.0,
699.96,287832375,113.619434,-69.630924,61,140,b'073428.67-693751.3',57033.4907,0,0,4,0,1,0.966,,,,,,,,,,,,,,,,,17.294,0.01,17.592,0.212,16.587,0.013,16.765,0.132,60.0,
700.01,287832183,113.715367,-69.681742,15,37,b'073451.68-694054.1',57032.4849,0,0,9,1,1,0.981,17.808,0.043,18.168,0.145,17.451,0.056,17.903,0.253,16.499,0.021,16.65,0.047,16.15,0.027,16.186,0.034,15.933,0.02,16.007,0.028,15.866,0.048,15.867,0.033,60.0,
700.51,287831858,114.257759,-69.739506,51,43,b'073701.85-694422.2',57030.475,0,0,2,0,1,0.697,,,,,,,,,,,,,,,,,17.913,0.011,17.996,0.177,17.394,0.028,17.559,0.133,60.0,
700.59,287831348,114.530797,-69.684775,12,36,b'073807.39-694105.1',57030.4748,0,0,1,0,1,0.435,,,,,,,,,,,,,,,,,18.54,0.041,18.912,0.155,,,,,60.0,
701.7,287847345,114.008814,-69.359859,50,149,b'073602.11-692135.4',57032.8875,0,0,5,0,1,0.856,,,,,,,,,,,,,18.192,0.022,18.504,0.204,17.421,0.088,17.53,0.086,17.124,0.047,17.096,0.1,60.0,
702.09,287831537,114.562775,-69.429066,121,132,b'073815.06-692544.6',57030.475,0,0,2,0,1,0.495,,,,,,,,,,,,,,,,,18.764,0.054,18.989,0.283,18.32,0.09,18.652,0.198,9.2,287831538.0
702.13,287832319,113.667462,-69.44011,24,39,b'073440.19-692624.1',57036.5061,0,0,4,0,1,0.973,,,,,16.783,0.076,18.654,0.19,,,,,14.939,0.005,14.98,0.025,14.638,0.004,14.56,0.022,14.512,0.003,14.431,0.021,60.0,
702.67,287831664,114.186438,-69.356264,13,36,b'073644.74-692122.5',57030.4751,0,0,1,0,1,0.504,,,,,,,,,,,,,,,,,,,,,18.207,0.07,18.376,0.263,60.0,
702.85,287847811,113.807815,-69.390323,19,36,b'073513.88-692325.1',57033.2158,0,0,11,1,1,0.986,16.07,0.016,16.195,0.086,15.655,0.01,15.785,0.049,14.666,0.004,14.687,0.01,14.331,0.002,14.323,0.054,14.062,0.003,14.072,0.037,13.984,0.003,14.039,0.047,8.6,287847813.0
702.87,287832034,113.998961,-69.740433,29,36,b'073559.75-694425.5',57036.5063,0,0,3,0,1,0.971,,,,,,,,,,,,,14.861,0.004,14.876,0.025,14.522,0.003,14.503,0.022,14.413,0.008,14.468,0.024,60.0,
703.19,287831651,114.266852,-69.361276,13,36,b'073704.04-692140.5',57030.4748,0,0,1,0,1,0.487,,,,,,,,,,,,,,,,,18.622,0.032,19.022,0.244,,,,,13.1,287831659.0
703.39,287832055,113.866638,-69.72347,12,66,b'073527.99-694324.4',57030.475,0,0,2,0,1,0.657,,,,,,,,,,,,,,,,,17.831,0.013,18.012,0.188,17.919,0.019,17.971,0.17,8.6,287832054.0
703.64,287832152,113.849378,-69.72027,30,36,b'073523.84-694312.8',57032.4849,2,0,9,1,1,0.959,17.492,0.021,17.248,0.146,17.045,0.021,17.237,0.146,15.895,0.02,15.838,0.028,15.495,0.017,15.419,0.031,15.271,0.011,15.224,0.052,15.198,0.022,15.043,0.051,60.0,
703.71,287847812,113.798952,-69.392241,13,86,b'073511.75-692332.0',57030.4746,0,0,2,0,1,0.598,,,,,,,,,,,,,18.65,0.027,18.793,0.181,18.122,0.019,18.2,0.2,,,,,5.7,287847813.0
704.04,287832436,113.571327,-69.527155,13,36,b'073417.11-693137.7',57030.4748,0,0,1,0,1,0.474,,,,,,,,,,,,,,,,,18.705,0.071,18.962,0.168,,,,,60.0,
704.39,287831584,114.510932,-69.408357,85,57,b'073802.62-692430.0',57033.0597,2,0,7,0,1,0.967,,,,,,,,,17.733,0.023,17.661,0.105,17.33,0.082,17.52,0.073,16.838,0.007,16.838,0.056,16.764,0.077,16.844,0.064,60.0,
704.42,287831204,114.620196,-69.643625,19,36,b'073828.84-693837.0',57032.7363,0,0,8,0,1,0.976,17.945,0.074,18.077,0.164,,,,,16.945,0.003,16.981,0.065,16.673,0.01,16.496,0.295,16.353,0.023,16.34,0.081,16.313,0.011,16.296,0.244,60.0,
704.82,287831198,114.661944,-69.609257,19,36,b'073838.86-693633.3',57030.475,0,0,2,0,1,0.539,,,,,,,,,,,,,,,,,18.199,0.035,18.302,0.177,18.133,0.035,18.31,0.169,60.0,
705.0,287832054,113.872069,-69.724946,12,36,b'073529.29-694329.8',57030.4751,0,0,1,0,1,0.469,,,,,,,,,,,,,,,,,,,,,18.573,0.074,18.654,0.323,8.6,287832055.0
705.07,287831659,114.257272,-69.359897,25,36,b'073701.74-692135.7',57032.4849,0,0,9,1,1,0.982,17.403,0.016,17.402,0.125,17.094,0.011,17.169,0.148,16.212,0.003,16.231,0.034,15.925,0.024,15.966,0.042,15.665,0.022,15.72,0.027,15.594,0.017,15.722,0.08,13.1,287831651.0
705.47,287831894,114.161919,-69.745908,59,74,b'073638.85-694445.2',57030.4748,0,0,2,0,1,0.491,,,,,,,,,,,,,18.535,0.024,18.651,0.243,,,,,18.335,0.054,18.355,0.261,11.9,287831895.0
705.78,287847309,114.106076,-69.35441,28,50,b'073625.43-692115.9',57033.0597,0,0,7,0,1,0.981,,,,,,,,,17.068,0.019,16.987,0.074,16.567,0.018,16.607,0.091,16.168,0.003,16.241,0.1,16.056,0.003,16.137,0.035,14.3,287847308.0
705.94,287831896,114.143552,-69.746332,148,78,b'073634.46-694446.7',57032.8875,0,0,5,0,1,0.945,,,,,,,,,,,,,18.066,0.021,18.289,0.132,17.223,0.042,17.335,0.076,17.002,0.086,17.293,0.1,8.7,287831897.0
705.97,287847813,113.801244,-69.390888,13,36,b'073512.29-692327.1',57030.4748,0,0,1,0,1,0.433,,,,,,,,,,,,,,,,,18.573,0.067,18.832,0.189,,,,,5.7,287847812.0
706.33,287832374,113.630801,-69.643017,78,42,b'073431.39-693834.8',57030.475,0,0,2,0,1,0.781,,,,,,,,,,,,,,,,,17.878,0.03,17.691,0.135,17.321,0.02,17.495,0.124,60.0,
706.59,287831538,114.56156,-69.426551,13,36,b'073814.77-692535.5',57030.4751,0,0,1,0,1,0.234,,,,,,,,,,,,,,,,,,,,,18.189,0.09,18.001,0.203,9.2,287831537.0
706.78,287847355,113.937942,-69.365524,37,36,b'073545.10-692155.8',57030.4746,0,0,4,0,1,0.953,,,,,,,,,17.988,0.012,17.996,0.132,17.465,0.011,17.456,0.086,17.256,0.025,17.431,0.086,17.059,0.009,17.125,0.091,12.3,287847354.0
706.96,287831846,114.336369,-69.732673,61,53,b'073720.70-694357.6',57033.0597,0,0,7,0,1,0.961,,,,,,,,,17.784,0.008,17.84,0.122,17.278,0.015,17.57,0.385,16.958,0.062,17.163,0.17,16.886,0.063,17.092,0.185,60.0,
706.99,287847359,113.876726,-69.37463,13,53,b'073530.41-692228.6',57030.475,0,0,2,0,1,0.646,,,,,,,,,,,,,,,,,18.283,0.042,17.961,0.198,17.742,0.02,17.823,0.169,11.0,287847360.0
707.09,287831531,114.603902,-69.447073,87,60,b'073824.93-692649.4',57036.5063,0,0,3,0,1,0.691,,,,,,,,,,,,,16.342,0.009,16.307,0.055,15.938,0.012,15.931,0.064,15.773,0.012,16.091,0.07,60.0,
707.57,287831895,114.152594,-69.746667,18,36,b'073636.62-694448.0',57030.4748,0,0,3,0,1,0.849,,,,,,,,,,,,,18.513,0.02,18.553,0.285,17.704,0.017,17.808,0.126,17.465,0.018,17.568,0.129,11.3,287831896.0
708.39,287831539,114.553763,-69.422507,31,82,b'073812.90-692521.0',57033.0597,0,0,7,0,1,0.971,,,,,,,,,17.27,0.009,17.362,0.074,16.944,0.044,17.04,0.071,16.779,0.009,16.853,0.082,16.656,0.005,16.732,0.062,60.0,
708.84,287847851,113.697567,-69.423269,13,36,b'073447.41-692523.7',57030.4748,0,0,1,0,1,0.485,,,,,,,,,,,,,,,,,18.569,0.023,18.591,0.248,,,,,60.0,
708.92,287847806,113.852163,-69.378584,56,75,b'073524.52-692242.9',57032.8874,0,0,5,0,1,0.915,,,,,,,,,,,,,17.79,0.104,18.089,0.118,17.357,0.039,17.552,0.136,17.437,0.023,17.558,0.11,60.0,
709.55,287831231,114.688646,-69.569062,13,36,b'073845.27-693408.6',57030.4751,0,0,1,0,1,0.236,,,,,,,,,,,,,,,,,,,,,18.427,0.087,18.291,0.225,60.0,
709.55,287832043,113.95033,-69.737615,27,36,b'073548.06-694415.3',57032.7363,0,0,8,0,1,0.984,18.002,0.034,17.931,0.161,,,,,16.212,0.006,16.235,0.03,15.663,0.015,15.668,0.02,15.294,0.014,15.345,0.064,15.197,0.022,15.213,0.14,60.0,
709.95,287831241,114.691059,-69.545648,55,36,b'073845.85-693244.3',57030.4748,0,0,3,0,1,0.895,,,,,,,,,,,,,17.938,0.013,18.099,0.124,17.499,0.014,17.439,0.1,17.266,0.021,17.239,0.115,60.0,
710.04,287832438,113.562333,-69.549349,25,61,b'073414.96-693257.6',57030.4748,0,0,3,0,1,0.889,,,,,,,,,,,,,17.979,0.04,18.22,0.162,17.552,0.009,17.618,0.112,17.543,0.038,17.951,0.21,60.0,
710.4,287832157,113.751757,-69.698266,150,76,b'073500.41-694153.7',57030.475,0,0,2,0,1,0.556,,,,,,,,,,,,,,,,,18.179,0.046,18.011,0.197,17.735,0.023,17.842,0.181,60.0,
710.73,287832031,114.022797,-69.744405,468,36,b'073605.51-694439.8',57036.5065,0,0,2,0,1,0.418,,,,,,,,,,,,,,,,,17.394,0.063,17.895,0.144,16.886,0.018,16.976,0.142,60.0,
710.94,287831252,114.683596,-69.517143,38,36,b'073844.06-693101.7',57030.4746,0,0,2,0,1,0.567,,,,,,,,,,,,,18.721,0.045,18.713,0.22,18.381,0.057,18.806,0.325,,,,,60.0,
711.15,287832381,113.597977,-69.620997,23,36,b'073423.50-693715.5',57033.2158,0,0,11,1,1,0.984,16.337,0.009,16.28,0.052,16.136,0.024,16.549,0.335,14.925,0.004,14.941,0.013,14.589,0.008,14.577,0.013,14.31,0.014,14.336,0.013,14.229,0.005,14.291,0.051,60.0,
711.24,287831532,114.573028,-69.429528,18,40,b'073817.52-692546.3',57032.8869,0,0,10,1,1,0.987,16.961,0.081,17.031,0.119,16.476,0.014,16.501,0.101,15.383,0.003,15.418,0.015,14.999,0.013,15.031,0.039,14.749,0.026,14.793,0.011,14.693,0.03,14.699,0.027,13.1,287831537.0
711.45,287831250,114.673836,-69.500868,84,139,b'073841.73-693003.2',57031.9828,0,0,4,0,1,0.765,,,,,,,,,,,,,17.993,0.027,17.982,0.12,17.695,0.027,17.658,0.115,17.456,0.091,17.322,0.422,11.5,287831249.0
711.53,287831230,114.691666,-69.562211,25,36,b'073846.00-693343.9',57030.4746,0,0,4,0,1,0.98,,,,,,,,,17.304,0.007,17.366,0.076,16.789,0.017,16.872,0.059,16.242,0.004,16.327,0.039,16.122,0.007,16.189,0.044,60.0,
711.85,287832053,113.880987,-69.728605,12,36,b'073531.43-694342.9',57030.4748,0,0,1,0,1,0.491,,,,,,,,,,,,,,,,,18.775,0.14,19.024,0.222,,,,,60.0,
712.11,287831890,114.181746,-69.747208,98,78,b'073643.61-694449.9',57030.475,0,0,2,0,1,0.499,,,,,,,,,,,,,,,,,18.458,0.028,18.488,0.328,18.103,0.027,18.187,0.194,60.0,
712.13,287832398,113.57518,-69.595735,13,36,b'073418.04-693544.6',57030.4751,0,0,1,0,1,0.412,,,,,,,,,,,,,,,,,,,,,18.719,0.04,18.666,0.283,60.0,
713.38,287831897,114.140041,-69.748432,179,160,b'073633.64-694454.3',57032.4855,0,0,3,0,1,0.845,,,,,,,,,,,,,,,,,17.926,0.028,18.041,0.154,17.372,0.011,17.859,0.527,7.5,287831904.0
713.53,287847805,113.861606,-69.375317,141,104,b'073526.75-692231.0',57031.6811,0,0,5,0,1,0.911,,,,,,,,,18.525,0.019,18.735,0.286,18.012,0.031,18.093,0.118,17.516,0.017,17.57,0.167,17.498,0.011,17.922,0.364,60.0,
714.51,287832156,113.76701,-69.704279,27,61,b'073504.08-694215.2',57032.8875,0,0,5,0,1,0.973,,,,,,,,,,,,,18.285,0.017,18.339,0.154,17.049,0.015,17.133,0.095,16.474,0.009,16.496,0.089,60.0,
714.61,287832422,113.577653,-69.50031,13,36,b'073418.63-693001.1',57030.4751,0,0,1,0,1,0.504,,,,,,,,,,,,,,,,,,,,,18.615,0.059,18.755,0.256,60.0,
714.72,287847307,114.128916,-69.351794,139,36,b'073630.94-692106.4',57030.475,0,0,2,0,1,0.41,,,,,,,,,,,,,,,,,18.471,0.049,18.738,0.204,17.982,0.044,17.912,0.149,60.0,
714.9,287831904,114.134412,-69.748891,90,66,b'073632.24-694455.9',57032.4853,0,0,6,0,1,0.975,,,,,,,,,17.624,0.022,17.408,0.126,17.148,0.01,17.137,0.071,16.85,0.013,16.853,0.139,16.667,0.054,16.637,0.064,7.5,287831897.0
714.93,287831650,114.290582,-69.360229,18,36,b'073709.75-692136.9',57033.2158,0,0,11,1,1,0.984,16.226,0.128,16.374,0.11,15.86,0.018,15.85,0.064,14.395,0.003,14.427,0.008,13.933,0.002,13.966,0.014,13.625,0.004,13.638,0.032,13.524,0.003,13.56,0.038,60.0,
714.99,287831227,114.691543,-69.574,23,36,b'073845.97-693426.4',57030.4746,0,0,4,0,1,0.93,,,,,,,,,17.696,0.031,18.006,0.149,17.425,0.022,17.351,0.092,17.105,0.013,17.149,0.093,17.048,0.027,17.286,0.122,7.6,287831226.0
715.3,287831226,114.691059,-69.576108,46,58,b'073845.85-693433.9',57030.4746,0,0,4,0,1,0.912,,,,,,,,,18.143,0.033,18.475,0.209,17.858,0.014,17.968,0.159,17.516,0.023,17.364,0.106,17.682,0.018,17.722,0.126,7.6,287831227.0
715.6,287831595,114.459875,-69.389482,13,36,b'073750.37-692322.1',57030.4751,0,0,1,0,1,0.501,,,,,,,,,,,,,,,,,,,,,18.446,0.072,18.54,0.294,12.2,287831589.0
715.62,287847814,113.803299,-69.387107,24,36,b'073512.79-692313.6',57033.0597,1,0,7,0,1,0.982,,,,,,,,,16.459,0.003,16.501,0.035,16.029,0.018,16.056,0.026,15.692,0.003,15.771,0.023,15.536,0.023,15.518,0.118,12.9,287847811.0
716.33,287847360,113.877583,-69.371589,13,36,b'073530.61-692217.7',57030.4751,0,0,1,0,1,0.369,,,,,,,,,,,,,,,,,,,,,18.34,0.121,17.877,0.211,5.1,287847363.0
717.47,287831251,114.674789,-69.495793,39,58,b'073841.93-692944.9',57033.0597,2,0,7,0,1,0.978,,,,,,,,,16.945,0.009,17.034,0.059,16.634,0.009,16.76,0.044,16.439,0.012,16.344,0.041,16.321,0.017,16.455,0.136,60.0,
