r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
437.31,287831935,114.205293,-69.668685,18,40,b'073649.25-694007.2',57033.0597,0,0,7,0,1,0.979,,,,,,,,,17.551,0.008,17.567,0.115,16.904,0.015,17.139,0.058,16.438,0.029,16.534,0.041,16.286,0.016,16.408,0.051,60.0,
438.7,287832326,113.796207,-69.589458,28,36,b'073511.08-693522.0',57033.0597,0,0,7,0,1,0.983,,,,,,,,,15.932,0.005,15.921,0.025,15.193,0.027,15.204,0.036,14.644,0.004,14.643,0.036,14.42,0.02,14.47,0.01,60.0,
439.87,287831823,113.978947,-69.439662,65,52,b'073554.94-692622.7',57036.5063,0,0,3,0,1,0.506,,,,,,,,,,,,,16.986,0.02,17.759,0.298,16.627,0.011,16.669,0.123,16.567,0.026,16.553,0.114,60.0,
440.56,287831570,114.441431,-69.496808,42,36,b'073745.98-692948.5',57032.7363,0,0,8,0,1,0.984,17.834,0.025,18.074,0.301,,,,,15.366,0.005,15.344,0.018,14.72,0.003,14.731,0.011,14.287,0.017,14.299,0.01,14.133,0.005,14.189,0.011,60.0,
441.33,287831571,114.42244,-69.484533,42,36,b'073741.39-692904.3',57036.5063,0,0,3,0,1,0.944,,,,,,,,,,,,,16.168,0.013,16.099,0.076,14.946,0.006,14.928,0.032,14.512,0.003,14.456,0.025,60.0,
441.78,287831948,114.132435,-69.673025,18,36,b'073631.79-694022.9',57033.2158,0,0,11,1,1,0.984,16.322,0.015,16.262,0.117,15.82,0.039,15.918,0.176,13.814,0.003,13.845,0.006,13.207,0.002,13.224,0.02,12.766,0.011,12.772,0.049,12.585,0.011,12.609,0.047,11.5,287831947.0
441.94,287831319,114.475341,-69.566288,16,158,b'073754.08-693358.6',57030.475,0,0,2,0,1,0.797,,,,,,,,,,,,,,,,,17.808,0.033,18.119,0.184,17.769,0.017,17.973,0.21,13.1,287831442.0
442.44,287832340,113.775746,-69.558317,13,36,b'073506.17-693329.9',57030.4737,0,0,1,0,1,0.373,,,,,18.01,0.116,18.728,0.222,,,,,,,,,,,,,,,,,60.0,
442.45,287832004,113.933084,-69.653015,13,36,b'073543.94-693910.8',57030.4751,0,0,1,0,1,0.479,,,,,,,,,,,,,,,,,,,,,18.57,0.102,18.589,0.322,60.0,
442.76,287832140,113.863396,-69.632102,173,122,b'073527.28-693755.7',57033.0597,0,0,7,0,1,0.91,,,,,,,,,18.077,0.012,18.148,0.17,17.722,0.015,17.998,0.315,17.497,0.019,17.844,0.234,17.35,0.028,17.429,0.093,11.6,287832141.0
443.99,287831987,113.982515,-69.662937,59,64,b'073555.79-693946.5',57030.4746,0,0,4,0,1,0.657,,,,,,,,,18.396,0.046,18.416,0.133,18.152,0.035,18.533,0.229,17.805,0.022,17.747,0.166,17.671,0.075,17.283,0.127,60.0,
444.09,287831977,114.108291,-69.673515,68,36,b'073625.99-694024.6',57030.475,0,0,2,0,1,0.595,,,,,,,,,,,,,,,,,18.034,0.036,17.959,0.167,17.803,0.018,17.799,0.155,60.0,
444.39,287831870,114.257987,-69.664994,69,36,b'073701.96-693953.9',57033.0597,0,0,7,0,1,0.98,,,,,,,,,17.776,0.035,18.198,0.191,16.982,0.01,17.16,0.091,16.386,0.053,16.465,0.043,16.122,0.1,16.185,0.209,60.0,
444.94,287832347,113.773439,-69.545094,26,36,b'073505.62-693242.3',57030.4746,0,0,4,0,1,0.985,,,,,,,,,16.42,0.004,16.462,0.045,15.727,0.003,15.747,0.024,15.136,0.003,15.179,0.017,14.913,0.003,14.987,0.017,6.9,287832348.0
445.88,287832292,113.804152,-69.499333,30,36,b'073513.00-692957.6',57033.2158,0,2,11,1,1,0.986,15.633,0.008,15.643,0.036,15.317,0.018,15.22,0.036,14.104,0.005,14.111,0.007,13.69,0.003,13.672,0.033,13.369,0.005,13.351,0.049,13.281,0.017,13.268,0.05,6.9,287832293.0
446.11,287831988,113.965322,-69.660725,37,44,b'073551.68-693938.6',57033.0597,0,0,7,0,1,0.981,,,,,,,,,17.298,0.014,17.339,0.09,16.64,0.033,16.652,0.046,16.165,0.02,16.171,0.034,16.058,0.014,16.132,0.089,60.0,
446.35,287831779,114.178938,-69.427691,13,56,b'073642.94-692539.8',57033.0597,0,0,7,0,1,0.981,,,,,,,,,17.491,0.025,17.458,0.148,16.707,0.007,16.752,0.09,16.141,0.017,16.198,0.032,15.871,0.04,15.88,0.205,60.0,
446.52,287832130,113.888252,-69.642338,28,73,b'073533.17-693832.4',57030.475,0,0,2,0,1,0.708,,,,,,,,,,,,,,,,,18.127,0.054,18.292,0.158,17.764,0.02,17.706,0.158,60.0,
446.81,287832141,113.855539,-69.630661,56,41,b'073525.33-693750.3',57030.4746,0,0,4,0,1,0.889,,,,,,,,,18.224,0.051,18.472,0.145,17.883,0.026,18.044,0.118,17.658,0.015,17.737,0.153,17.718,0.048,17.997,0.154,11.6,287832140.0
447.98,287831781,114.133294,-69.425908,54,36,b'073631.96-692533.3',57032.8875,0,0,5,0,1,0.973,,,,,,,,,,,,,17.692,0.026,17.591,0.102,16.444,0.011,16.422,0.051,15.942,0.035,15.927,0.047,60.0,
449.23,287831565,114.47246,-69.519211,131,36,b'073753.38-693109.1',57031.9827,0,0,4,0,1,0.832,,,,,,,,,18.44,0.092,18.561,0.121,,,,,17.305,0.012,17.357,0.102,17.001,0.035,16.991,0.204,2.4,287831564.0
450.7,287832294,113.832283,-69.479277,13,36,b'073519.74-692845.3',57036.5063,0,0,1,0,1,0.35,,,,,,,,,,,,,,,,,17.464,0.067,18.201,0.208,,,,,60.0,
450.82,287832293,113.80221,-69.497534,138,89,b'073512.54-692951.1',57030.4748,0,0,2,0,1,0.945,,,,,,,,,,,,,18.144,0.043,18.219,0.178,,,,,17.039,0.043,16.909,0.079,6.9,287832292.0
451.32,287832348,113.768285,-69.545758,13,36,b'073504.38-693244.7',57030.4748,0,0,1,0,1,0.496,,,,,,,,,,,,,,,,,18.693,0.038,18.898,0.252,,,,,6.9,287832347.0
451.62,287831564,114.474323,-69.519083,13,36,b'073753.83-693108.6',57036.5063,0,0,1,0,1,0.357,,,,,,,,,,,,,,,,,17.362,0.112,18.137,0.165,,,,,2.4,287831565.0
451.64,287831417,114.299747,-69.660361,19,36,b'073711.95-693937.3',57030.4742,0,1,6,1,1,0.999,15.187,0.033,15.092,0.026,14.702,0.01,14.796,0.031,12.029,0.004,12.056,0.003,11.261,0.004,11.301,0.003,10.692,0.003,10.73,0.003,10.458,0.003,10.488,0.003,60.0,
451.99,287832339,113.767476,-69.55032,94,45,b'073504.20-693301.1',57030.4748,0,0,3,0,1,0.561,,,,,,,,,,,,,18.594,0.039,18.935,0.184,18.484,0.045,18.841,0.386,17.974,0.021,18.239,0.206,6.4,287832343.0
452.04,287831777,114.211507,-69.428314,60,63,b'073650.75-692541.9',57030.4742,0,0,6,1,1,0.858,18.331,0.047,18.631,0.31,18.003,0.036,18.176,0.233,17.863,0.013,17.942,0.168,17.894,0.016,17.944,0.128,17.592,0.02,17.514,0.12,17.67,0.018,17.791,0.127,60.0,
452.46,287831316,114.486549,-69.549946,74,56,b'073756.76-693259.7',57030.4748,0,0,3,0,1,0.535,,,,,,,,,,,,,18.665,0.058,18.982,0.179,18.09,0.058,17.817,0.208,18.176,0.035,18.335,0.207,7.8,287831315.0
452.83,287832272,113.936692,-69.443615,13,36,b'073544.80-692637.0',57036.5067,2,0,1,0,1,0.354,,,,,,,,,,,,,,,,,,,,,17.157,0.053,17.302,0.145,60.0,
453.18,287832342,113.766582,-69.552929,55,36,b'073503.98-693310.5',57030.4746,0,0,4,0,1,0.955,,,,,,,,,17.772,0.013,17.828,0.123,17.355,0.011,17.358,0.09,17.079,0.019,17.058,0.072,16.99,0.024,17.013,0.12,8.3,287832343.0
454.01,287832139,113.86072,-69.635738,13,36,b'073526.57-693808.6',57030.4751,0,0,1,0,1,0.408,,,,,,,,,,,,,,,,,,,,,18.307,0.028,18.305,0.214,13.4,287832140.0
454.05,287832323,113.807246,-69.609269,20,36,b'073513.75-693633.3',57033.2158,4,11,11,1,1,1.0,13.345,0.005,13.329,0.006,12.919,0.007,12.898,0.019,11.151,0.005,11.153,0.003,10.594,0.009,10.568,0.039,10.151,0.014,10.129,0.062,9.973,0.025,9.983,0.072,60.0,
456.12,287831562,114.460448,-69.500978,13,36,b'073750.50-693003.5',57030.4751,0,0,1,0,1,0.495,,,,,,,,,,,,,,,,,,,,,18.004,0.03,17.876,0.205,60.0,
456.68,287831580,114.361506,-69.453687,33,36,b'073726.74-692713.2',57036.5058,0,0,5,0,1,0.982,16.229,0.036,16.526,0.109,15.974,0.017,15.672,0.081,,,,,14.244,0.003,14.223,0.014,13.996,0.003,13.976,0.013,13.939,0.004,13.941,0.013,60.0,
457.85,287832343,113.762816,-69.551024,55,36,b'073503.07-693303.6',57030.4748,0,0,3,0,1,0.638,,,,,,,,,,,,,18.465,0.042,18.601,0.214,18.09,0.01,18.185,0.229,17.967,0.01,18.297,0.307,6.4,287832339.0
458.33,287832281,113.859279,-69.464094,111,46,b'073526.23-692750.7',57036.5063,0,0,3,0,1,0.508,,,,,,,,,,,,,17.036,0.041,17.516,0.189,16.562,0.016,16.876,0.175,16.402,0.034,16.293,0.114,60.0,
460.07,287831414,114.315051,-69.660006,13,36,b'073715.61-693936.0',57030.4748,0,0,1,0,1,0.462,,,,,,,,,,,,,,,,,18.802,0.046,18.896,0.252,,,,,60.0,
460.1,287831315,114.492635,-69.550359,42,36,b'073758.23-693301.3',57030.4746,0,0,4,0,1,0.984,,,,,,,,,17.194,0.007,17.237,0.096,16.865,0.004,16.903,0.066,16.593,0.009,16.666,0.055,16.58,0.008,16.658,0.067,7.8,287831316.0
460.76,287831642,114.28955,-69.435732,35,45,b'073709.49-692608.6',57036.5058,0,0,5,0,1,0.982,16.103,0.022,16.608,0.111,15.615,0.018,15.998,0.107,,,,,14.448,0.012,14.525,0.016,14.33,0.004,14.238,0.017,14.3,0.003,14.317,0.02,60.0,
461.65,287832327,113.777488,-69.590015,31,36,b'073506.59-693524.0',57033.2158,2,0,11,1,1,0.983,16.753,0.029,16.986,0.133,16.224,0.023,16.287,0.08,14.866,0.003,14.874,0.012,14.452,0.019,14.468,0.008,14.13,0.007,14.149,0.05,14.018,0.004,14.071,0.044,60.0,
462.78,287831780,114.183781,-69.423333,53,87,b'073644.14-692524.1',57033.0597,0,0,7,0,1,0.969,,,,,,,,,17.549,0.01,17.533,0.076,17.102,0.012,17.112,0.078,16.782,0.006,16.847,0.09,16.811,0.01,16.903,0.063,60.0,
463.3,287831321,114.494033,-69.540578,16,36,b'073758.56-693226.0',57030.4742,0,0,6,1,1,0.985,16.039,0.004,16.1,0.058,15.769,0.017,15.941,0.063,14.805,0.003,14.82,0.012,14.527,0.005,14.584,0.01,14.315,0.003,14.353,0.01,14.298,0.004,14.367,0.011,60.0,
463.81,287831561,114.479419,-69.512957,48,70,b'073755.05-693046.6',57030.475,0,0,2,0,1,0.513,,,,,,,,,,,,,,,,,18.53,0.053,18.832,0.17,18.056,0.035,17.852,0.228,60.0,
464.69,287831317,114.492199,-69.569842,50,36,b'073758.12-693411.4',57030.4746,2,0,2,0,1,0.535,,,,,,,,,,,,,18.588,0.094,18.006,0.188,18.093,0.078,17.928,0.136,,,,,60.0,
466.63,287831878,114.164294,-69.679285,36,36,b'073639.42-694045.4',57030.475,0,0,2,0,1,0.667,,,,,,,,,,,,,,,,,18.413,0.046,18.561,0.205,17.781,0.033,17.848,0.156,60.0,
466.94,287832298,113.770795,-69.513944,35,84,b'073504.98-693050.2',57033.0597,0,0,7,0,1,0.95,,,,,,,,,17.901,0.013,17.965,0.119,17.445,0.023,17.708,0.24,17.112,0.008,17.426,0.324,16.869,0.11,16.956,0.299,60.0,
467.52,287831318,114.497086,-69.56217,27,36,b'073759.29-693343.8',57030.4746,0,0,4,0,1,0.98,,,,,,,,,16.901,0.021,16.833,0.052,16.521,0.009,16.603,0.046,16.145,0.003,16.212,0.036,15.957,0.009,15.961,0.04,60.0,
468.74,287832128,113.905891,-69.655322,33,36,b'073537.42-693919.1',57033.0597,0,0,7,0,1,0.982,,,,,,,,,16.955,0.014,17.051,0.055,16.191,0.006,16.252,0.05,15.718,0.003,15.746,0.043,15.54,0.014,15.606,0.032,60.0,
468.82,287832266,113.759716,-69.528175,29,54,b'073502.33-693141.4',57030.4746,0,0,4,0,1,0.734,,,,,,,,,18.56,0.06,18.45,0.176,18.348,0.02,18.391,0.188,17.945,0.033,18.15,0.264,17.71,0.045,17.309,0.167,11.8,287832267.0
468.84,287831775,114.230095,-69.425221,20,97,b'073655.22-692530.8',57033.0597,0,0,7,0,1,0.975,,,,,,,,,17.323,0.013,17.347,0.085,16.893,0.005,16.91,0.139,16.656,0.048,16.632,0.048,16.55,0.017,16.564,0.064,60.0,
468.98,287831432,114.448296,-69.616621,31,36,b'073747.58-693659.8',57030.475,0,0,2,0,1,0.482,,,,,,,,,,,,,,,,,18.022,0.044,18.019,0.128,17.875,0.03,18.086,0.191,60.0,
469.22,287832349,113.753968,-69.546487,13,103,b'073500.95-693247.3',57030.475,0,0,2,0,1,0.482,,,,,,,,,,,,,,,,,18.751,0.071,18.338,0.199,18.257,0.079,17.689,0.314,60.0,
469.79,287832341,113.75367,-69.556355,43,36,b'073500.87-693322.8',57030.475,0,0,2,0,1,0.967,,,,,,,,,,,,,,,,,17.271,0.016,17.475,0.092,16.62,0.01,16.743,0.072,60.0,
470.02,287832296,113.796357,-69.489686,158,46,b'073511.12-692922.8',57030.4746,0,0,3,0,1,0.618,,,,,,,,,18.633,0.067,18.15,0.211,18.234,0.026,18.403,0.199,,,,,17.602,0.047,17.318,0.128,60.0,
470.99,287831579,114.383887,-69.455379,180,323,b'073732.09-692719.7',57036.5063,2,0,3,0,1,0.483,,,,,,,,,,,,,17.643,0.112,18.811,0.182,16.715,0.013,16.739,0.127,16.496,0.005,16.649,0.142,60.0,
471.08,287832109,113.927891,-69.661307,13,36,b'073542.69-693940.7',57030.4751,0,0,1,0,1,0.495,,,,,,,,,,,,,,,,,,,,,18.119,0.065,18.031,0.201,12.3,287832110.0
471.2,287832267,113.759556,-69.524905,13,36,b'073502.29-693129.6',57030.4751,0,0,1,0,1,0.735,,,,,,,,,,,,,,,,,,,,,17.707,0.025,17.862,0.187,11.8,287832266.0
471.87,287832324,113.799421,-69.614628,116,140,b'073511.86-693652.6',57030.475,0,0,2,0,1,0.93,,,,,,,,,,,,,,,,,17.407,0.04,17.434,0.111,17.343,0.016,17.416,0.103,60.0,
473.99,287831979,114.059533,-69.679885,35,36,b'073614.30-694047.5',57033.4901,0,0,10,1,1,0.984,16.33,0.006,16.205,0.107,15.965,0.027,16.073,0.078,14.894,0.01,14.954,0.013,14.591,0.01,14.634,0.011,14.337,0.007,14.374,0.045,14.301,0.004,14.346,0.049,60.0,
475.02,287831829,113.954904,-69.432925,22,66,b'073549.17-692558.4',57036.5063,0,0,3,0,1,0.524,,,,,,,,,,,,,16.65,0.021,16.772,0.115,16.358,0.025,16.113,0.08,16.199,0.012,15.931,0.091,60.0,
475.09,287831435,114.405241,-69.639731,36,36,b'073737.25-693823.0',57030.475,0,0,2,0,1,0.49,,,,,,,,,,,,,,,,,18.621,0.038,18.44,0.244,18.276,0.031,18.337,0.23,10.9,287831467.0
476.07,287831320,114.504817,-69.543872,49,91,b'073801.15-693237.9',57030.4748,0,0,3,0,1,0.718,,,,,,,,,,,,,18.253,0.041,18.204,0.14,17.775,0.029,17.689,0.115,17.662,0.026,17.717,0.153,60.0,
476.74,287832143,113.848339,-69.640381,51,47,b'073523.62-693825.3',57032.4853,0,0,6,0,1,0.949,,,,,,,,,17.785,0.033,18.125,0.131,17.447,0.019,17.476,0.101,17.091,0.022,17.224,0.16,16.866,0.022,16.908,0.071,11.5,287832137.0
477.41,287831467,114.400761,-69.642337,28,36,b'073736.17-693832.3',57032.7364,0,0,8,0,1,0.982,,,,,17.189,0.041,17.184,0.194,15.988,0.004,16.014,0.026,15.638,0.025,15.65,0.026,15.396,0.008,15.439,0.019,15.301,0.005,15.385,0.046,10.9,287831435.0
479.81,287831424,114.490505,-69.590938,19,295,b'073757.72-693527.4',57030.4748,0,0,2,0,1,0.584,,,,,,,,,,,,,18.654,0.052,18.58,0.209,,,,,18.021,0.03,18.252,0.272,60.0,
482.21,287831581,114.366091,-69.445829,31,36,b'073727.84-692644.9',57036.5058,0,0,5,0,1,0.983,15.923,0.004,15.982,0.068,15.659,0.03,16.03,0.116,,,,,14.182,0.004,14.179,0.013,13.967,0.004,13.973,0.013,13.943,0.003,13.91,0.013,60.0,
482.95,287832110,113.920353,-69.663552,78,74,b'073540.91-693948.8',57032.8875,0,0,5,0,1,0.968,,,,,,,,,,,,,17.837,0.015,18.005,0.158,16.831,0.01,17.068,0.208,16.405,0.045,16.477,0.176,12.3,287832109.0
483.06,287831782,114.120077,-69.416163,31,36,b'073628.80-692458.2',57032.4849,0,0,9,1,1,0.982,17.93,0.042,18.236,0.197,17.601,0.08,17.724,0.15,16.613,0.017,16.751,0.048,16.231,0.014,16.263,0.086,15.923,0.023,15.937,0.026,15.814,0.005,15.909,0.04,60.0,
483.52,287832137,113.849521,-69.643564,17,36,b'073523.88-693836.8',57032.887,0,0,10,1,1,0.988,17.433,0.026,17.257,0.121,17.008,0.091,17.281,0.108,15.283,0.005,15.305,0.016,14.744,0.003,14.775,0.011,14.301,0.005,14.321,0.046,14.13,0.003,14.16,0.067,11.5,287832143.0
483.97,287831423,114.473649,-69.608895,28,36,b'073753.68-693632.0',57032.7364,0,0,8,0,1,0.981,,,,,17.236,0.016,17.407,0.178,16.538,0.007,16.596,0.043,16.26,0.036,16.265,0.152,16.046,0.013,16.021,0.057,16.044,0.026,16.102,0.064,60.0,
