objName,objID,raMean,decMean,raMeanErr,decMeanErr,nDetections,randomID,projectionID,skyCellID,objInfoFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,epochMean,nStackDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanKronMag,gMeanKronMagErr,gMeanApMag,gMeanApMagErr,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanKronMag,rMeanKronMagErr,rMeanApMag,rMeanApMagErr,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanKronMag,iMeanKronMagErr,iMeanApMag,iMeanApMagErr,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanKronMag,zMeanKronMagErr,zMeanApMag,zMeanApMagErr,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanKronMag,yMeanKronMagErr,yMeanApMag,yMeanApMagErr,yFlags,Ang Sep (')
b'PSO J023632.520+144617.225',b'125720391353766432',39.1355,14.7714527778,0.107,0.107,2,0.924350392934,1600,69,268959744,32,b'',b'',,,55586.403125,0,1,0,0,1,0,0.717,21.118,0.121,20.754,0.103,20.423,0.121,16781336,,,,,,,,0,,,,,,,,0,0.67,21.075,0.226,,,22.438,0.226,4120,,,,,,,,0,13.267
b'PSO J023719.474+144906.201',b'125780393309632452',39.3311666667,14.8183527778,0.091,0.091,2,0.325766525535,1600,78,310456320,37,b'',b'',,,55477.5770718,0,2,0,0,0,0,0.935,20.889,0.09,19.483,0.053,19.933,0.09,16777496,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,13.267
b'PSO J023550.808+145603.559',b'125920389617921701',38.9617,14.9343222222,0.124,0.124,2,0.366723630919,1600,79,268959744,32,b'',b'',,,55705.9785532,0,0,0,2,0,0,,,,,,,,0,,,,,,,,0,0.709,21.107,0.025,20.81,0.143,21.42,0.818,4120,,,,,,,,0,,,,,,,,0,13.269
b'PSO J023631.712+144619.688',b'125720391321966876',39.1321333333,14.7721361111,0.1,0.1,2,0.07812068153,1600,69,268959744,32,b'',b'',,,55477.5726157,0,2,0,0,0,0,0.619,20.701,0.038,20.574,0.065,20.337,0.014,4120,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,13.269
b'PSO J023705.466+144701.725',b'125740392727841072',39.2728,14.7837777778,0.113,0.113,2,0.60155683905,1600,68,302067712,36,b'',b'',,,55477.5770718,0,1,1,0,0,0,0.858,21.011,0.112,20.096,0.075,20.198,0.112,16777496,0.6,21.76,0.204,21.614,0.179,21.635,0.204,4120,,,,,,,,0,,,,,,,,0,,,,,,,,0,13.27
b'PSO J023738.296+145702.163',b'125940394095651242',39.4095875,14.9505555556,0.004,0.004,56,0.773786718746,1600,78,503635968,60,b'02 37 38.297',b'+14 57 02.16',0.001,0.001,56133.3373148,5,8,7,18,13,10,0.999,18.027,0.006,18.114,0.008,18.039,0.007,115000,0.999,17.557,0.003,17.617,0.01,17.56,0.008,115000,0.999,17.357,0.004,17.441,0.004,17.366,0.005,115000,0.999,17.272,0.003,17.344,0.004,17.276,0.005,115000,0.999,17.218,0.008,17.331,0.014,17.242,0.006,115000,13.27
b'PSO J023702.159+144643.252',b'125730392589904937',39.2590208333,14.7786527778,0.035,0.034,19,0.741819305105,1600,68,436527104,52,b'02 37 02.155',b'+14 46 43.31',0.001,0.001,56321.9710301,8,0,0,12,6,1,,,,,,,,16416,,,,,,,,114720,0.999,21.633,0.08,21.73,0.066,21.599,0.088,115000,0.999,20.901,0.056,20.761,0.185,20.754,0.161,115000,0.999,20.573,0.179,,,21.164,0.179,115000,13.271
b'PSO J023734.572+150431.435',b'126090393939980993',39.3940708333,15.0753638889,0.071,0.071,6,0.912687380717,1600,78,436363264,52,b'02 37 34.584',b'+15 04 31.89',0.001,0.001,56131.7420833,3,0,1,2,3,0,,,,,,,,16416,0.994,21.776,0.179,20.669,0.151,20.874,0.179,16793912,0.998,21.167,0.018,20.783,0.257,20.782,0.083,115000,0.999,20.837,0.099,20.059,0.32,20.165,0.0,16892216,,,,,,,,114720,13.271
b'PSO J023701.255+144638.643',b'125730392551863322',39.2552333333,14.7774,0.163,0.163,2,0.188388616022,1600,68,268959744,32,b'',b'',,,55949.7946759,0,1,0,0,0,1,0.554,21.288,0.271,21.374,0.247,21.73,0.271,4120,,,,,,,,0,,,,,,,,0,,,,,,,,0,0.663,19.908,0.204,,,20.434,0.204,4120,13.271
b'PSO J023625.332+151143.562',b'126230391055174976',39.1055541667,15.1954333333,0.161,0.161,2,0.482398692968,1600,89,268959744,32,b'',b'',,,55479.544375,0,2,0,0,0,0,0.559,21.162,0.43,,,21.833,0.0,4120,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,13.272
