recno,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Field,nobs,mobs,B-V,e_B-V,Vmag,e_Vmag,Bmag,e_Bmag,g_mag,e_g_mag,r_mag,e_r_mag,i_mag,e_i_mag
447478,41.803751,27.262001,0.769,0.791,20121320,6,24,0.773,0.069,15.734,0.056,16.508,0.041,16.136,0.058,15.368,0.083,15.029,0.07
447479,41.823176,27.280912,0.192,0.186,20121320,6,30,0.658,0.092,12.456,0.072,13.114,0.056,12.763,0.042,12.288,0.08,12.117,0.039
447480,41.691942,27.253494,0.301,0.216,20121320,6,30,0.499,0.079,13.884,0.053,14.383,0.059,14.112,0.041,13.763,0.069,13.648,0.026
447481,41.727563,27.28157,0.784,1.155,20121320,4,14,0.981,0.075,15.632,0.029,16.613,0.069,16.134,0.025,15.272,0.011,14.976,0.041
447482,41.727635,27.281487,0.488,0.602,20151198,3,11,0.963,0.048,15.646,0.045,16.609,0.016,16.051,0.055,15.291,0.101,15.046,0.0
447483,41.750077,27.315293,1.296,0.813,20121320,4,10,,,,,,,16.578,0.055,15.774,0.073,15.37,0.07
447484,41.765656,27.324484,0.805,0.64,20121320,4,18,0.65,0.189,16.045,0.092,16.696,0.165,16.368,0.02,15.914,0.072,15.837,0.208
447485,41.775464,27.317504,0.393,0.329,20121320,6,30,0.837,0.105,14.677,0.063,15.514,0.084,15.062,0.054,14.413,0.093,14.152,0.047
447486,41.720225,27.311801,0.496,0.783,20121320,5,20,0.909,0.167,15.502,0.118,16.41,0.119,15.972,0.059,15.242,0.068,15.015,0.133
447487,41.729978,27.316457,0.276,0.201,20121320,6,30,0.272,0.084,12.555,0.06,12.828,0.059,12.657,0.037,12.574,0.075,12.615,0.032
447488,41.561029,27.214799,0.36,0.278,20121320,6,22,0.577,0.114,13.287,0.071,13.864,0.089,13.559,0.044,13.115,0.107,12.923,0.036
447489,41.58234,27.236681,0.485,0.493,20121320,6,26,0.673,0.107,14.797,0.057,15.47,0.09,15.125,0.051,14.612,0.089,14.397,0.041
447490,41.574225,27.239968,1.098,0.757,20121320,4,12,0.543,0.255,16.412,0.153,16.955,0.204,16.663,0.056,16.226,0.069,,
447491,41.542141,27.254848,0.513,1.036,20121320,3,6,,,,,,,17.297,0.019,16.679,0.083,,
447492,41.520224,27.295443,0.442,0.416,20121320,6,30,0.845,0.107,12.578,0.058,13.423,0.089,12.985,0.033,12.341,0.076,12.112,0.041
447493,41.560447,27.308073,0.567,1.235,20121320,3,8,0.504,0.046,16.344,0.0,16.848,0.046,16.628,0.043,16.069,0.086,15.846,0.0
447494,41.590691,27.317949,0.478,0.464,20121320,6,30,0.951,0.111,14.15,0.064,15.101,0.09,14.626,0.048,13.836,0.082,13.561,0.052
447495,41.555707,27.316523,0.465,0.391,20121320,6,30,0.648,0.113,13.128,0.073,13.776,0.086,13.434,0.043,12.967,0.062,12.783,0.053
447496,41.574098,27.338635,0.53,0.41,20121320,6,30,0.767,0.107,11.998,0.07,12.766,0.081,12.37,0.043,11.791,0.081,11.571,0.038
447497,41.647531,27.293842,0.512,0.447,20121320,6,30,0.754,0.114,14.363,0.067,15.117,0.092,14.714,0.044,14.168,0.086,13.969,0.074
447498,41.663978,27.297737,0.372,0.342,20121320,6,30,1.163,0.093,12.649,0.061,13.812,0.07,13.219,0.045,12.259,0.081,11.848,0.034
447499,41.666281,27.332919,0.309,0.299,20121320,6,30,0.601,0.098,12.674,0.069,13.276,0.069,12.965,0.043,12.529,0.082,12.354,0.029
447500,41.718775,27.364916,1.186,1.227,20121320,3,5,0.898,0.137,16.548,0.0,17.446,0.137,17.147,0.022,16.629,0.0,,
447501,41.732878,27.356474,0.372,0.329,20121320,6,27,0.983,0.099,13.684,0.069,14.667,0.072,14.203,0.026,13.344,0.05,12.981,0.035
447502,41.677879,27.369608,1.221,0.395,20121320,2,4,0.939,0.0,16.164,0.0,17.103,0.0,16.759,0.044,15.968,0.0,,
447503,41.626622,27.362042,0.083,0.08,20121320,4,20,0.739,0.019,12.845,0.016,13.584,0.01,13.194,0.021,12.634,0.017,12.376,0.038
447504,41.650381,27.37283,0.485,0.955,20121320,3,7,,,,,,,16.874,0.092,16.034,0.051,15.761,0.061
